"Category","Annual Mean","5-yr smooth"
"1901",8.59,8.42
"1902",8.39,8.35
"1903",7.95,8.3
"1904",8.09,8.25
"1905",8.4,8.24
"1906",8.44,8.25
"1907",8.32,8.31
"1908",8.62,8.38
"1909",8.08,8.47
"1910",8.67,8.53
"1911",8.6,8.56
"1912",8.07,8.54
"1913",8.49,8.46
"1914",8.83,8.36
"1915",8.61,8.26
"1916",8.05,8.2
"1917",7.62,8.19
"1918",8.43,8.25
"1919",8.4,8.35
"1920",8,8.47
"1921",9.44,8.58
"1922",8.62,8.66
"1923",8.64,8.68
"1924",7.89,8.67
"1925",8.89,8.64
"1926",9.02,8.61
"1927",8.57,8.6
"1928",8.73,8.63
"1929",8.34,8.69
"1930",8.61,8.77
"1931",9.45,8.85
"1932",8.4,8.92
"1933",8.96,8.98
"1934",9.73,9
"1935",8.64,9.02
"1936",8.88,9.02
"1937",8.65,9.03
"1938",9.37,9.03
"1939",9.24,9.04
"1940",8.95,9.04
"1941",9.2,9.03
"1942",8.8,9
"1943",8.88,8.94
"1944",8.75,8.85
"1945",8.57,8.74
"1946",9.04,8.64
"1947",8.73,8.57
"1948",8.32,8.54
"1949",8.78,8.57
"1950",8.47,8.64
"1951",8.25,8.72
"1952",8.82,8.8
"1953",9.4,8.87
"1954",9.23,8.89
"1955",8.38,8.87
"1956",8.53,8.83
"1957",8.96,8.77
"1958",8.85,8.71
"1959",8.67,8.66
"1960",8.52,8.62
"1961",8.45,8.6
"1962",8.74,8.58
"1963",8.9,8.56
"1964",8.3,8.54
"1965",8.46,8.52
"1966",8.27,8.49
"1967",8.69,8.47
"1968",8.33,8.45
"1969",8.57,8.44
"1970",8.53,8.42
"1971",8.29,8.42
"1972",8.19,8.42
"1973",8.75,8.44
"1974",8.67,8.48
"1975",8.25,8.53
"1976",8.4,8.6
"1977",9.08,8.67
"1978",8.56,8.72
"1979",8.39,8.76
"1980",8.92,8.78
"1981",9.51,8.77
"1982",8.32,8.76
"1983",8.71,8.76
"1984",8.6,8.77
"1985",8.38,8.82
"1986",9.37,8.91
"1987",9.44,9
"1988",9.06,9.09
"1989",8.65,9.15
"1990",9.36,9.17
"1991",9.34,9.14
"1992",8.89,9.08
"1993",8.71,9.02
"1994",9.23,8.96
"1995",9.24,8.94
"1996",8.58,8.97
"1997",8.74,9.04
"1998",9.8,9.13
"1999",9.22,9.24
"2000",9.2,9.34
"2001",9.42,9.43
"2002",9.44,9.5
"2003",9.42,9.54
"2004",9.38,9.55
"2005",9.65,9.53
"2006",9.81,9.46
"2007",9.62,9.37
"2008",8.78,9.28
"2009",8.92,9.21
"2010",9.34,9.2
"2011",9.36,9.27
"2012",10.06,9.42
"2013",9.07,9.62
"2014",9.42,9.82
"2015",10.21,10
"2016",10.62,10.12
"2017",10.21,10.16
"2018",9.87,10.13
"2019",9.72,10.06
"2020",10,9.95
"2021",10,9.82
