Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2000","2000","°C","1.528","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2001","2001","°C","2.046","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2002","2002","°C","2.774","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2003","2003","°C","2.165","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2004","2004","°C","0.107","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2005","2005","°C","2.167","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2006","2006","°C","3.552","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2007","2007","°C","1.169","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2008","2008","°C","0.2","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2009","2009","°C","0.445","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2010","2010","°C","0.536","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2011","2011","°C","0.626","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2012","2012","°C","1.561","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2013","2013","°C","2.07","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2014","2014","°C","1.961","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2015","2015","°C","2.049","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2016","2016","°C","2.694","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2017","2017","°C","2.15","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2018","2018","°C","1.642","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2019","2019","°C","1.883","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2020","2020","°C","1.958","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7001","January","2021","2021","°C","3.037","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2000","2000","°C","3.744","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2001","2001","°C","1.184","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2002","2002","°C","1.598","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2003","2003","°C","0.654","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2004","2004","°C","0.506","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2005","2005","°C","2.181","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2006","2006","°C","1.264","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2007","2007","°C","-0.402","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2008","2008","°C","0.185","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2009","2009","°C","1.36","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2010","2010","°C","-0.194","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2011","2011","°C","-0.059","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2012","2012","°C","2.44","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2013","2013","°C","0.676","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2014","2014","°C","-0.306","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2015","2015","°C","0.403","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2016","2016","°C","3.816","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2017","2017","°C","3.546","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2018","2018","°C","1.793","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2019","2019","°C","0.389","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2020","2020","°C","0.869","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7002","February","2021","2021","°C","-1.574","E","Estimated value"
"ET","Temperature change","840","United States of America","7271","Temperature change","7003","March","2000","2000","°C","3.033","E","Estimated value"
